wl,n,k,er,ei
180.0,1.28,1.188,0.22705600000000015,3.04128
181.0,1.28,1.188,0.22705600000000015,3.04128
182.0,1.28,1.188,0.22705600000000015,3.04128
183.0,1.28,1.188,0.22705600000000015,3.04128
184.0,1.28,1.188,0.22705600000000015,3.04128
185.0,1.28,1.188,0.22705600000000015,3.04128
186.0,1.28,1.188,0.22705600000000015,3.04128
187.0,1.28,1.188,0.22705600000000015,3.04128
188.0,1.281081081081081,1.1884054054054054,0.22886132870708553,3.0448873630387143
189.0,1.2918918918918918,1.1924594594594595,0.24702509788166505,3.0810574141709277
190.0,1.3027027027027027,1.1965135135135134,0.26538974360847356,3.1174027757487215
191.0,1.3135135135135136,1.2005675675675676,0.2839552658875095,3.1539234477720965
192.0,1.3221621621621622,1.2054864864864865,0.2949151139517896,3.187697238860482
193.0,1.3275675675675676,1.2117027027027027,0.29421220672023374,3.217234419284149
194.0,1.3329729729729731,1.2179189189189188,0.29349045361577875,3.2469060043827613
195.0,1.3383783783783785,1.224135135135135,0.2927498546384226,3.2767119941563183
196.0,1.3382500000000002,1.230375,0.27709042187500055,3.2930986875000006
197.0,1.3357500000000002,1.2366249999999999,0.2549866718750009,3.3036436875
198.0,1.33325,1.242875,0.2328172968750002,3.3141261875
199.0,1.33075,1.2491249999999998,0.21058229687500063,3.3245461874999997
200.0,1.33,1.25555,0.1924941975000003,3.339763
201.0,1.33,1.26205,0.17612979750000046,3.357053
202.0,1.33,1.26855,0.15968089749999992,3.3743430000000005
203.0,1.33,1.27505,0.1431474975,3.391633
204.0,1.32475,1.281725,0.11214358687500026,3.3959303875000004
205.0,1.3172500000000003,1.288475,0.07497973687500048,3.394487387500001
206.0,1.3097500000000002,1.295225,0.03783726187500025,3.392841887500001
207.0,1.3022500000000001,1.3019749999999999,0.000716161875000676,3.3909938875
208.0,1.3,1.311,-0.028720999999999774,3.4086
209.0,1.3,1.321,-0.055040999999999674,3.4346
210.0,1.3,1.331,-0.08156099999999977,3.4606
211.0,1.3,1.341,-0.10828099999999985,3.4866
212.0,1.3,1.3508222222222224,-0.13472067604938287,3.5121377777777782
213.0,1.3,1.3590444444444445,-0.15700180197530855,3.5335155555555557
214.0,1.3,1.3672666666666666,-0.1794181377777775,3.5548933333333332
215.0,1.3,1.3754888888888888,-0.20196968345678967,3.5762711111111107
216.0,1.3,1.383711111111111,-0.2246564390123449,3.5976488888888882
217.0,1.3,1.3917999999999997,-0.24710723999999895,3.6186799999999995
218.0,1.3,1.3997999999999997,-0.269440039999999,3.6394799999999994
219.0,1.3,1.4077999999999997,-0.29190083999999894,3.6602799999999993
220.0,1.3,1.4157999999999997,-0.314489639999999,3.6810799999999992
221.0,1.3,1.4237999999999997,-0.337206439999999,3.7018799999999996
222.0,1.30125,1.4311249999999998,-0.35486720312499953,3.7245028124999995
223.0,1.3033333333333335,1.4379999999999997,-0.36916622222222095,3.7483866666666663
224.0,1.3054166666666667,1.444875,-0.3835510920138887,3.7723278125
225.0,1.3075,1.4517499999999999,-0.39802181249999924,3.79632625
226.0,1.3095833333333333,1.4586249999999998,-0.412578383680555,3.820381979166666
227.0,1.3084313725490198,1.4658039215686274,-0.4365884798154549,3.8358076739715496
228.0,1.3064705882352943,1.4730588235294115,-0.463036899653978,3.8490160553633217
229.0,1.3045098039215688,1.480313725490196,-0.4895828973471732,3.8621675355632448
230.0,1.3025490196078433,1.4875686274509803,-0.5162264728950396,3.875262114571319
231.0,1.3005882352941178,1.4948235294117644,-0.5429676262975767,3.888299792387543
232.0,1.3024137931034483,1.501706896551724,-0.5588419146848984,3.9116875505350768
233.0,1.3058620689655174,1.5084310344827585,-0.5700884426278234,3.9396057431629012
234.0,1.3093103448275862,1.515155172413793,-0.5814016174197383,3.9676166825208083
235.0,1.3127586206896553,1.5218793103448276,-0.5927814390606418,3.9957203686087994
236.0,1.3162068965517242,1.5286034482758621,-0.604227907550535,4.023916801426873
237.0,1.3196551724137933,1.5353275862068967,-0.6157410228894171,4.052205980975031
238.0,1.32,1.542709090909091,-0.6375513391735541,4.072752
239.0,1.32,1.5501636363636364,-0.6606072995041321,4.0924320000000005
240.0,1.32,1.5576181818181818,-0.6837744003305783,4.112112
241.0,1.32,1.5650727272727272,-0.7070526416528919,4.131792
242.0,1.32,1.5725272727272726,-0.7304420234710738,4.151472
243.0,1.320625,1.5803749999999999,-0.7535347499999998,4.174165468749999
244.0,1.3221875,1.5888124999999997,-0.7761453749999991,4.2014160546875
245.0,1.32375,1.5972499999999998,-0.7988934999999997,4.228719375
246.0,1.3253125000000001,1.6056875,-0.8217791249999995,4.2560754296875
247.0,1.326875,1.614125,-0.8448022500000003,4.28348421875
248.0,1.3284375000000002,1.6225625,-0.8679628749999992,4.3109457421875
249.0,1.33,1.631,-0.8912609999999999,4.33846
250.0,1.33,1.640344262295082,-0.9218292988443963,4.363315737704918
251.0,1.33,1.649688524590164,-0.952572228164472,4.388171475409837
252.0,1.33,1.659032786885246,-0.9834897879602258,4.413027213114755
253.0,1.33,1.668377049180328,-1.0145819782316587,4.437882950819673
254.0,1.33,1.67772131147541,-1.0458487989787695,4.462738688524591
255.0,1.33,1.687065573770492,-1.0772902502015593,4.487594426229509
256.0,1.332769230769231,1.696446153846154,-1.101655730414201,4.521942471005918
257.0,1.335846153846154,1.7058307692307693,-1.1253736665088758,4.557454944378699
258.0,1.3389230769230769,1.7152153846153846,-1.1492488097041418,4.593082920710059
259.0,1.342,1.7246000000000001,-1.1732811600000004,4.6288264
260.0,1.345076923076923,1.7339846153846155,-1.19747071739645,4.664685382248521
261.0,1.3481538461538463,1.7433692307692308,-1.221817481893491,4.700659867455622
262.0,1.3516438356164384,1.751958904109589,-1.2424189433289548,4.736048905986114
263.0,1.3557534246575342,1.7593561643835616,-1.2572667646838054,4.770506290110715
264.0,1.35986301369863,1.7667534246575343,-1.272190247513605,4.80508527303434
265.0,1.363972602739726,1.774150684931507,-1.2871893918183523,4.8397858547569905
266.0,1.368082191780822,1.7815479452054797,-1.3022641975980491,4.874608035278665
267.0,1.3721917808219177,1.7889452054794523,-1.317414664852694,4.909551814599363
268.0,1.3763013698630138,1.796342465753425,-1.332640793582287,4.944617192719085
269.0,1.3806944444444444,1.8036111111111115,-1.346695891203705,4.9804716820987665
270.0,1.3876388888888889,1.8097222222222225,-1.349552835648149,5.022481867283951
271.0,1.3945833333333333,1.8158333333333334,-1.3523880208333336,5.064661805555556
272.0,1.4015277777777777,1.8219444444444446,-1.3552014467592601,5.1070114969135805
273.0,1.4084722222222221,1.8280555555555555,-1.357993113425926,5.149530941358024
274.0,1.4154166666666665,1.8341666666666667,-1.3607630208333341,5.192220138888889
275.0,1.422361111111111,1.8402777777777777,-1.3635111689814812,5.235079089506172
276.0,1.4293055555555554,1.8463888888888886,-1.3662375578703703,5.278107793209875
277.0,1.4343373493975902,1.8493855421686747,-1.3629032517056179,5.305285513136884
