wl,n,k,er,ei
180,1.07,1.212,-0.324044,2.59368
181,1.07,1.212,-0.324044,2.59368
182,1.07,1.212,-0.324044,2.59368
183,1.07,1.212,-0.324044,2.59368
184,1.07,1.212,-0.324044,2.59368
185,1.07,1.212,-0.324044,2.59368
186,1.07,1.212,-0.324044,2.59368
187,1.07,1.212,-0.324044,2.59368
188,1.0708108108108108,1.2125405405405405,-0.3236187699050401,2.59680303871439
189,1.078918918918919,1.2179459459459459,-0.3193262936449959,2.6281298466033602
190,1.087027027027027,1.2233513513513514,-0.3149607713659608,2.659631964937911
191,1.0951351351351353,1.2287567567567568,-0.31052220306793266,2.6913093937180426
192,1.1021621621621622,1.2344864864864864,-0.3091954536157775,2.7212085902118335
193,1.1075675675675676,1.2407027027027027,-0.31263727976625244,2.748324149013879
194,1.1129729729729732,1.2469189189189187,-0.3160979517896265,2.7755741124908693
195,1.1183783783783785,1.253135135135135,-0.3195774696859015,2.802958480642805
196,1.1235,1.2588499999999998,-0.3224510724999996,2.8286359499999993
197,1.1285,1.2643499999999999,-0.3250686724999994,2.85363795
198,1.1335,1.26985,-0.32769677249999996,2.8787499499999996
199,1.1384999999999998,1.27535,-0.3303353725000002,2.9039719499999994
200,1.1417499999999998,1.2803250000000002,-0.3356390431250007,2.9236221374999998
201,1.1442499999999998,1.285075,-0.3421096931250003,2.9408941374999995
202,1.14675,1.289825,-0.3486129681250001,2.9582136374999997
203,1.1492499999999999,1.294575,-0.35514886812500035,2.9755806375
204,1.1552499999999999,1.2988,-0.3522788775000001,3.0008774
205,1.1627499999999997,1.3028,-0.3453002775000007,3.0296613999999993
206,1.1702499999999998,1.3068,-0.3382411775000005,3.0585653999999995
207,1.1777499999999999,1.3107999999999997,-0.3311015774999997,3.087589399999999
208,1.1830434782608694,1.313978260869565,-0.3269469985822302,3.108986824196596
209,1.187391304347826,1.316804347826087,-0.3240755808128546,3.1271240642722113
210,1.1917391304347826,1.3196304347826087,-0.32118232939508484,3.1453104536862004
211,1.1960869565217391,1.3224565217391304,-0.3182672443289225,3.1635459924385634
212,1.2004444444444444,1.3252444444444444,-0.31520597333333344,3.181764661728395
213,1.204888888888889,1.3276888888888887,-0.31100055111111047,3.199435180246913
214,1.2093333333333334,1.3301333333333332,-0.3067675733333328,3.217149155555555
215,1.2137777777777776,1.3325777777777776,-0.30250704000000006,3.2349065876543204
216,1.218222222222222,1.335022222222222,-0.2982189511111111,3.2527074765432094
217,1.2236,1.33672,-0.2896233983999996,3.271221184
218,1.2296,1.3379199999999998,-0.2781137663999993,3.2902128639999995
219,1.2356,1.3391199999999999,-0.2665350143999996,3.309233344
220,1.2416,1.34032,-0.2548871423999999,3.328282624
221,1.2476,1.3415199999999998,-0.24317015039999945,3.3473607039999997
222,1.25125,1.34225,-0.23600850000000007,3.3589806249999996
223,1.2533333333333334,1.3426666666666667,-0.23190933333333308,3.365617777777778
224,1.2554166666666666,1.3430833333333334,-0.2278018333333336,3.3722584027777778
225,1.2575,1.3435,-0.2236859999999996,3.3789025
226,1.2595833333333333,1.3439166666666666,-0.21956183333333334,3.3855500694444443
227,1.2631372549019608,1.3460392156862746,-0.21630584544406006,3.4004645597846985
228,1.2670588235294118,1.3485882352941176,-0.2132521660899651,3.4174812456747405
229,1.2709803921568628,1.3511372549019607,-0.21018072433679325,3.434537916186082
230,1.2749019607843137,1.353686274509804,-0.20709152018454446,3.4516345713187238
231,1.2788235294117647,1.356235294117647,-0.20398455363321766,3.468771211072664
232,1.28,1.358206896551724,-0.2063259738406653,3.4770096551724134
233,1.28,1.3599310344827586,-0.21101241854934605,3.481423448275862
234,1.28,1.361655172413793,-0.21570480856123653,3.4858372413793104
235,1.28,1.3633793103448275,-0.22040314387633742,3.4902510344827586
236,1.28,1.3651034482758622,-0.22510742449464938,3.4946648275862073
237,1.28,1.3668275862068966,-0.2298176504161713,3.499078620689655
238,1.2832727272727273,1.3688,-0.2268245474380164,3.5130874181818186
239,1.286909090909091,1.3708,-0.22295763173553707,3.528189963636364
240,1.2905454545454544,1.3728,-0.2190722697520664,3.5433215999999996
241,1.294181818181818,1.3748,-0.2151684614876037,3.5584823272727273
242,1.2978181818181818,1.3768,-0.21124620694214902,3.5736721454545455
243,1.300625,1.3786875,-0.20915383203125026,3.586310859375
244,1.3021875,1.38040625,-0.20982912988281255,3.59509552734375
245,1.30375,1.382125,-0.21050545312500013,3.6038909375
246,1.3053125,1.38384375,-0.21118280175781234,3.6126970898437505
247,1.306875,1.3855625,-0.21186117578125008,3.621513984375
248,1.3084375000000001,1.38728125,-0.21254057519531222,3.6303416210937502
249,1.31,1.389,-0.21322099999999988,3.63918
250,1.3132786885245902,1.3896557377049181,-0.20644215560333268,3.6500105294275733
251,1.3165573770491803,1.390311475409836,-0.19964267159365745,3.6608496586938992
252,1.3198360655737706,1.3909672131147541,-0.1928225479709753,3.671697387798979
253,1.3231147540983608,1.3916229508196722,-0.18598178473528604,3.6825537167428117
254,1.326393442622951,1.3922786885245901,-0.1791203818865892,3.6934186455253966
255,1.329672131147541,1.3929344262295082,-0.17223833942488564,3.704292174146735
