lambd,r1,r2,eps_1,eps_2,eps_3,alpha,A_sca,A_abs,A_tot
1.879e-07,2e-09,4e-09,5.44200189409969,(0.2270560000000001+3.04128j),1.78,(1.4506132792929987e-36+3.8182193562640085e-36j),1.4115294656661017e-20,1.4419999094383738e-17,1.44341143890404e-17
1.916e-07,2e-09,4e-09,5.44200189409969,(0.295191+3.1759200000000005j),1.78,(1.589222247648484e-36+3.7718852987812796e-36j),1.3110669712072448e-20,1.3969926176329922e-17,1.3983036846041994e-17
1.9530000000000003e-07,2e-09,4e-09,5.44200189409969,(0.29252400000000045+3.28568j),1.78,(1.6902125496449817e-36+3.7889044383939245e-36j),1.247839645468034e-20,1.3767102531361695e-17,1.3779580927816376e-17
1.9930000000000002e-07,2e-09,4e-09,5.44200189409969,(0.2038990000000005+3.32766j),1.78,(1.7184874782799272e-36+3.874377091162843e-36j),1.2008663366819268e-20,1.3795127783154896e-17,1.3807136446521715e-17
2.0330000000000003e-07,2e-09,4e-09,5.44200189409969,(0.13817099999999982+3.3968200000000004j),1.78,(1.775368585312418e-36+3.9401326737265364e-36j),1.153104606665867e-20,1.3753226818340047e-17,1.3764757864406706e-17
2.0730000000000004e-07,2e-09,4e-09,5.44200189409969,(-0.010415999999999979+3.3904j),1.78,(1.7603907075353255e-36+4.074893926942003e-36j),1.1253102141809995e-20,1.3949162844899214e-17,1.3960415947041025e-17
2.119e-07,2e-09,4e-09,5.44200189409969,(-0.13250000000000006+3.51j),1.78,(1.8655262001035608e-36+4.18885973421223e-36j),1.0999397105556121e-20,1.4028007830056323e-17,1.403900722716188e-17
2.1640000000000003e-07,2e-09,4e-09,5.44200189409969,(-0.23376899999999926+3.6062j),1.78,(1.95137451538585e-36+4.2787308093235655e-36j),1.0636204041090838e-20,1.403100715566429e-17,1.404164335970538e-17
2.214e-07,2e-09,4e-09,5.44200189409969,(-0.3463289999999992+3.7102j),1.78,(2.0454169498869666e-36+4.374271194079871e-36j),1.0235317768585944e-20,1.4020361979704584e-17,1.403059729747317e-17
2.262e-07,2e-09,4e-09,5.44200189409969,(-0.4154999999999995+3.8252j),1.78,(2.1473210063016318e-36+4.428071868327559e-36j),9.756706743162064e-21,1.389162971661155e-17,1.3901386423354712e-17
2.313e-07,2e-09,4e-09,5.44200189409969,(-0.5510089999999994+3.8922j),1.78,(2.2130817805420804e-36+4.5380134976622475e-36j),9.393129289445975e-21,1.3922630226551645e-17,1.3932023355841093e-17
2.371e-07,2e-09,4e-09,5.44200189409969,(-0.6168959999999999+4.05504j),1.78,(2.3538389612941392e-36+4.5786032459909975e-36j),8.845223471031136e-21,1.3703534456040807e-17,1.3712379679511837e-17
2.426e-07,2e-09,4e-09,5.44200189409969,(-0.7445289999999998+4.16328j),1.78,(2.4550237423136927e-36+4.671046192956399e-36j),8.478472652482392e-21,1.366326538649702e-17,1.3671743859149503e-17
2.49e-07,2e-09,4e-09,5.44200189409969,(-0.8912609999999999+4.3384599999999995j),1.78,(2.613243332955358e-36+4.7658962189394116e-36j),8.105415195040716e-21,1.3582395494874898e-17,1.3590500910069938e-17
2.551e-07,2e-09,4e-09,5.44200189409969,(-1.0804440000000006+4.490080000000002j),1.78,(2.7607477599707776e-36+4.8906884254430984e-36j),7.855041355704105e-21,1.3604753440565935e-17,1.3612608481921638e-17
2.616e-07,2e-09,4e-09,5.44200189409969,(-1.236501+4.7223000000000015j),1.78,(2.9666982075729648e-36+4.968075585380966e-36j),7.540414933538775e-21,1.347663894560653e-17,1.3484179360540069e-17
2.689e-07,2e-09,4e-09,5.44200189409969,(-1.3464090000000009+4.97628j),1.78,(3.177697300450479e-36+4.996914283347375e-36j),7.073839647296736e-21,1.318688551262644e-17,1.3193959352273737e-17
2.7610000000000004e-07,2e-09,4e-09,5.44200189409969,(-1.3665090000000002+5.28242j),1.78,(3.399300132713715e-36+4.941736934126823e-36j),6.529323737670728e-21,1.2701188289598281e-17,1.2707717613335952e-17
2.844e-07,2e-09,4e-09,5.44200189409969,(-1.3322610000000004+5.49486j),1.78,(3.534845827692712e-36+4.8684999152381504e-36j),5.835528793447966e-21,1.214777426247178e-17,1.2153609791265228e-17
2.924e-07,2e-09,4e-09,5.44200189409969,(-1.3067840000000004+5.59644j),1.78,(3.5953634499176165e-36+4.827689139539531e-36j),5.2277926899705265e-21,1.1716369715348856e-17,1.1721597508038827e-17
3.009e-07,2e-09,4e-09,5.44200189409969,(-1.2274209999999999+5.78034j),1.78,(3.6936396265398135e-36+4.7339251561934956e-36j),4.638459848944376e-21,1.1164270177047913e-17,1.1168908636896857e-17
3.107e-07,2e-09,4e-09,5.44200189409969,(-1.242549+5.79258j),1.78,(3.7048111797662564e-36+4.74048150331869e-36j),4.096735662302342e-21,1.082710482138172e-17,1.0831201557044023e-17
3.204000000000001e-07,2e-09,4e-09,5.44200189409969,(-1.2308040000000005+5.845840000000001j),1.78,(3.7350187397331936e-36+4.7206667611295316e-36j),3.62643452889121e-21,1.0455431833157216e-17,1.0459058267686108e-17
3.315e-07,2e-09,4e-09,5.44200189409969,(-1.355289+5.57368j),1.78,(3.5921996955827965e-36+4.8647190234634886e-36j),3.1937761491205893e-21,1.0413707303584644e-17,1.0416901079733765e-17
3.425e-07,2e-09,4e-09,5.44200189409969,(-1.310241+5.53816j),1.78,(3.558169251943178e-36+4.843741157594919e-36j),2.7685676895252046e-21,1.0035788252839315e-17,1.003855682052884e-17
3.5420000000000004e-07,2e-09,4e-09,5.44200189409969,(-1.2319559999999994+5.598j),1.78,(3.578949218368954e-36+4.7788924280640894e-36j),2.388613465758403e-21,9.574361830889445e-18,9.576750444355203e-18
3.679e-07,2e-09,4e-09,5.44200189409969,(-1.4006250000000002+5.6092j),1.78,(3.626500725204021e-36+4.8855070143140585e-36j),2.131250376644877e-21,9.423473022362937e-18,9.425604272739583e-18
3.815e-07,2e-09,4e-09,5.44200189409969,(-1.6048890000000005+5.64436j),1.78,(3.70314298540586e-36+5.009178309027954e-36j),1.9321103325588737e-21,9.317579078051851e-18,9.31951118838441e-18
3.974e-07,2e-09,4e-09,5.44200189409969,(-1.649404+5.73888j),1.78,(3.7767117333241417e-36+5.0113568442960344e-36j),1.6651555540242169e-21,8.948672293176005e-18,8.950337448730029e-18
4.1330000000000003e-07,2e-09,4e-09,5.44200189409969,(-1.7021640000000011+5.71736j),1.78,(3.778110547062528e-36+5.051461141723642e-36j),1.4382959546162695e-21,8.673267668929618e-18,8.674705964884235e-18
4.3050000000000005e-07,2e-09,4e-09,5.44200189409969,(-1.6922040000000007+5.6492j),1.78,(3.730988033424666e-36+5.064776886265334e-36j),1.2151191468949367e-21,8.34868934107074e-18,8.349904460217634e-18
4.509e-07,2e-09,4e-09,5.44200189409969,(-1.758996000000001+5.28264j),1.78,(3.5012659946773016e-36+5.215440707393837e-36j),1.0068240168573653e-21,8.208086326541158e-18,8.209093150558015e-18
4.714e-07,2e-09,4e-09,5.44200189409969,(-1.7027009999999996+4.84438j),1.78,(3.164641875484876e-36+5.2934419889194616e-36j),8.123656483597243e-22,7.96855763341148e-18,7.96936999905984e-18
4.959e-07,2e-09,4e-09,5.44200189409969,(-2.278289000000001+3.812640000000001j),1.78,(2.44524802699843e-36+6.040055995341698e-36j),7.40525359620216e-22,8.643268309024241e-18,8.644008834383862e-18
5.209e-07,2e-09,4e-09,5.44200189409969,(-3.946161+2.5804400000000003j),1.78,(9.22836383197749e-37+8.267256588112598e-36j),9.912980995233298e-22,1.1262588009693096e-17,1.1263579307792619e-17
5.486e-07,2e-09,4e-09,5.44200189409969,(-5.842125+2.1113j),1.78,(1.5225483294931728e-36+1.6102878232016615e-35j),3.0462813673536017e-21,2.082949994113853e-17,2.0832546222505882e-17
5.820999999999998e-07,2e-09,4e-09,5.44200189409969,(-8.112669+1.6605400000000001j),1.78,(1.9619066603560593e-35+1.4605295608746205e-35j),5.495322551586867e-21,1.78050784045708e-17,1.7810573727122388e-17
6.168000000000002e-07,2e-09,4e-09,5.44200189409969,(-10.661884+1.37424j),1.78,(1.6832292151851724e-35+3.286919621350309e-36j),2.1432982275930964e-21,3.7816023323888325e-18,3.783745630616426e-18
6.595e-07,2e-09,4e-09,5.44200189409969,(-13.648209+1.03516j),1.78,(1.3267535146110562e-35+8.89012012796668e-37j),9.857975852501666e-22,9.565858839027945e-19,9.575716814880447e-19
7.045000000000001e-07,2e-09,4e-09,5.44200189409969,(-16.817708999999994+1.0667799999999998j),1.78,(1.1433121761201992e-35+4.416019903445056e-37j),5.604978976582143e-22,4.448167810337678e-19,4.45377278931426e-19
7.559999999999999e-07,2e-09,4e-09,5.44200189409969,(-20.610164+1.27176j),1.78,(1.0293241665626978e-35+2.824073831831777e-37j),3.423456679705659e-22,2.650851439083289e-19,2.6542748957629943e-19
8.211000000000001e-07,2e-09,4e-09,5.44200189409969,(-25.811289+1.62656j),1.78,(9.450349095447004e-36+1.9373487656964228e-37j),2.0730742820417058e-22,1.6743370848551555e-19,1.6764101591371973e-19
8.920000000000001e-07,2e-09,4e-09,5.44200189409969,(-32.040668999999994+1.9254200000000001j),1.78,(8.890616632761167e-36+1.3185601867689558e-37j),1.3171060822472002e-22,1.0489776673625621e-19,1.0502947734448093e-19
9.84e-07,2e-09,4e-09,5.44200189409969,(-40.2741+2.7939999999999996j),1.78,(8.461764098845567e-36+1.0978891945208216e-37j),8.056296253913627e-23,7.917618109422846e-20,7.92567440567676e-20
1.088e-06,2e-09,4e-09,5.44200189409969,(-51.04960000000001+3.8610000000000007j),1.78,(8.13941694176359e-36+8.750772563887614e-38j),4.987031321830724e-23,5.707535736391622e-20,5.712522767713452e-20
